runtime,budget,0,num_actors,num_directors,num_screenwriters,num_producers,num_operators,num_composers,num_art_direction_by,num_editing_by,genre_-                the words,genre_the tiger lillies,genre_alexander strauss,genre_alex aygi,genre_anton grechko,genre_victoria boydell,genre_garret elkins,genre_henry jackman,genre_daniel ovrutsky,genre_dmitry slobtsov,genre_david burrows,genre_maria uimken,genre_molly goldstein,genre_ryan folsom,genre_fedor bookmark,genre_anime,genre_biography,genre_thriller,genre_western,genre_military,genre_detective,genre_baby,genre_documentary,genre_drama,genre_story,genre_comedy,genre_concert,genre_short,genre_crime,genre_melodrama,genre_music,genre_cartoon,genre_musical,genre_adventure,genre_family,genre_sport,genre_thriller,genre_the horrors,genre_fantasy,genre_film noir,genre_fantasy,country_-                the words,country_the tiger lillies,country_alexander strauss,country_alex aygi,country_anton grechko,country_victoria boydell,country_garret elkins,country_henry jackman,country_daniel ovrutsky,country_dmitry slobtsov,country_david burrows,country_maria uimken,country_molly goldstein,country_ryan folsom,country_fedor bookmark,country_anime,country_biography,country_thriller,country_western,country_military,country_detective,country_baby,country_documentary,country_drama,country_story,country_comedy,country_concert,country_short,country_crime,country_melodrama,country_music,country_cartoon,country_musical,country_adventure,country_family,country_sport,country_thriller,country_the horrors,country_fantasy,country_film noir,country_fantasy,type_video,type_movie,type_animated,type_documentary,type_other,type_popular-science,type_art,age_0,age_12,age_14,age_16,age_18,age_6,title_uais
141.0,104000000.0,0.9119684535862731,10,1,3,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Kingsman: Золотое кольцо
116.0,748539.0,0.9962698497282318,10,2,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lil Peep: всё для всех
114.0,75000000.0,0.947031866140893,10,1,3,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAMMA MIA! 2
99.0,21885107.0,0.9204945113503142,10,1,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,My Little Pony в кино
129.0,40000000.0,0.3724821485665566,10,1,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Pro любовь
93.0,1543064.0,0.8362996909304059,10,1,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"SOS, ДЕД МОРОЗ ИЛИ ВСЁ СБУДЕТСЯ!"
90.0,8151050.0,0.9067462432057976,10,1,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SuperАлиби
100.0,3623355.0,0.9761270382606841,10,1,3,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SuperЗять
93.0,24563629.0,0.8134924864115953,10,2,3,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Superнянь 2
87.0,20150241.0,0.9865714590216348,10,1,3,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UglyDolls. Куклы с характером
116.0,73286650.0,0.9895555792390494,10,1,2,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yesterday (Вчера)
99.0,42000000.0,0.9932857295108173,10,1,3,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zомбилэнд: Контрольный выстрел
