title_uais,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Вокс Люкс,8,0,0,0,0,0,0,14,29,1724,6796,6549,27701,16063,9117,8288,9058,5671,2909,5591,3587,5424,4159,4629
Пиковая дама. Зазеркалье,36,39,233,141,216,223,346,2676,3134,4184,15911,18659,276984,178196,142511,160656,114180,71204,83035,40314,52823,42183,37163,35464
Рожденный стать королем,106,76,85,54,90,131,78,15663,5540,7352,15554,90725,276613,168834,96914,65446,54677,46453,34558,32492,34047,29738,30886,21397
Время возмездия,735,866,338,160,119,216,194,1104,1287,2948,11020,20605,63086,35187,66262,27672,29470,21709,14818,15728,11551,12128,10032,9322
Звонок мертвецу,102,80,105,79,75,90,85,115,119,321,6246,20658,126897,216479,173073,157896,160844,131817,100811,80548,80919,67993,79701,46207
Середина 90-х,1259,1278,1499,940,754,739,935,1430,1474,5100,17393,27745,87901,106288,98334,81246,109395,93059,66687,47007,49940,41793,71584,74989
Агент Мамбо,0,0,0,0,0,0,11,0,17,23,38,245,9499,6935,4477,3451,5085,5504,7671,4428,4406,3590,3859,2891
Норм и Несокрушимые: Ключи от королевства,0,0,0,0,0,0,0,0,0,62,4860,6190,20967,10730,9725,13467,14552,10244,2719,3802,1191,1007,1052,1132
Балканский рубеж,3364,2914,3373,3454,3425,2836,3051,20849,10316,17710,37505,113459,1471287,1537154,1078800,1149273,475198,363117,243744,258586,258952,277205,344115,253917
Трезвый водитель,38706,35419,33076,32707,35884,38389,44819,47106,44004,54995,50104,67898,445745,414878,453449,338020,286052,180812,247446,210778,160590,144540,133029,96955
Волшебный парк Джун,0,0,0,0,0,0,40,83,4107,2100,3666,6977,176741,103063,85133,103204,109892,70606,45386,40214,37333,28524,28675,41145
Королевский корги,386,269,385,704,1072,1168,928,1702,5006,5590,14026,34119,375978,249888,261031,269876,301594,353833,204441,163265,178159,126847,133017,117136
В объятиях лжи,0,0,0,0,0,0,0,0,0,0,20099,128207,182793,123393,206570,208421,182303,111711,69770,57189,54161,43444,54586,141745
Другой,10259020,9309639,9107135,7766012,7640423,7717271,9735395,11714179,10657904,10760179,16638985,12665715,11601944,11054135,10473234,8867404,8642231,8838667,10364116,12343030,12036334,12919842,15075973,13201717
Закатать в асфальт,505,685,853,937,950,1407,12184,6123,4036,2943,10097,19614,98971,128464,123966,78498,119009,77305,69949,55879,56655,46550,88693,82327
Стертая личность,78,86,76,76,73,68,68,96,122,2082,12524,9451,60173,22702,29616,17419,27397,17512,11757,8395,6795,5987,8096,6943
Бэйбэрикээн,135,181,85,42,18,25,154,240,204,120,221,434,1757,1429,685,404,982,910,1022,1038,828,724,1813,2048
