Общий викенд,Викенд в месяце,Месяц,Даты,Дней в викенде,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,Февраль,с 15 фев. 2018 по 18 фев. 2018,3,Среднее количество зрителей,44,17,23,31,10,23,20,11,23,11,19,7,10,16,18,11,11,17,12,13,,,,,,,
8,4,Февраль,с 22 фев. 2018 по 25 фев. 2018,3,Фильм,Лёд,О чем говорят мужчины. Продолжение,Чёрная пантера,Ночные игры,Рубеж,Гномы в доме,Пятьдесят оттенков свободы,Все деньги мира,Секретное досье,Движение вверх,Приключения Паддингтона 2,"Три билборда на границе Эббинга, Миссури",Дикий,Охота на воров,Бегущий в лабиринте: Лекарство от смерти,Женщины против мужчин: Крымские каникулы,Убийство священного оленя,МУЛЬТ в кино. Выпуск № 69,Призрачная нить,Селфи,,,,,,,
8,4,Февраль,с 22 фев. 2018 по 25 фев. 2018,3,Сборы,"387,964,270","197,289,569","127,830,093","77,411,175","64,434,287","59,849,276","35,799,973","28,675,687","19,733,550","19,487,336","18,770,742","15,379,959","6,931,974","4,102,877","3,794,748","3,773,399","3,147,003","2,649,843","2,601,325","2,335,139",,,,,,,
8,4,Февраль,с 22 фев. 2018 по 25 фев. 2020,3,Зрители,"1,562,595","650,201","246,129","275,561","260,545","275,628","133,472","84,353","63,090","76,006","72,253","45,246","24,405","13,765","15,175","17,096","11,073","22,574","8,280","10,195",,,,,,,
8,4,Февраль,с 22 фев. 2018 по 25 фев. 2018,3,Сеансы,"29,467","22,378","1,568","12,675","14,723","8,190","7,141","3,798","3,923","1,889","1,657","1,133","1,913",639,484,"1,193",449,"1,709",667,692,,,,,,,
8,4,Февраль,с 22 фев. 2018 по 25 фев. 2018,3,Сборы за сеанс,"13,166","8,816","81,524","6,107","4,376","7,307","5,013","7,550","5,030","10,316","11,328","13,574","3,623","6,420","7,840","3,162","7,008","1,550","3,900","3,374",,,,,,,
8,4,Февраль,с 22 фев. 2018 по 25 фев. 2018,3,Среднее количество зрителей,53,29,156,21,17,33,18,22,16,40,43,39,12,21,31,14,24,13,12,14,,,,,,,
9,1,Март,с 01 март. 2018 по 04 март. 2018,3,Фильм,Чёрная пантера,Лёд,Довлатов,О чем говорят мужчины. Продолжение,За гранью реальности,Ночные игры,Мэри и ведьмин цветок,Гномы в доме,Со дна вершины,Купи меня,Рубеж,Все деньги мира,Пятьдесят оттенков свободы,"Три билборда на границе Эббинга, Миссури",Приключения Паддингтона 2,Погружение,Секретное досье,МУЛЬТ в кино. Выпуск № 70,Движение вверх,Леди Бёрд,,,,,,,
9,1,Март,с 01 март. 2018 по 04 март. 2018,3,Сборы,"310,105,314","112,740,737","98,983,708","63,821,841","56,043,704","24,989,992","22,509,530","21,758,916","13,746,754","11,386,523","9,806,185","8,141,453","5,625,432","5,218,962","4,928,955","4,675,777","3,837,226","3,545,160","3,521,422","1,383,245",,,,,,,
9,1,Март,с 01 март. 2018 по 04 март. 2018,3,Зрители,"1,079,930","464,723","317,488","211,847","210,751","87,949","91,974","104,079","56,110","39,603","44,353","24,659","23,904","15,920","18,212","15,260","12,299","29,283","13,753","3,879",,,,,,,
9,1,Март,с 01 март. 2018 по 04 март. 2018,3,Сеансы,"30,843","13,525","5,716","9,571","12,896","5,366","2,520","4,586","5,289","3,283","5,015","1,626","1,704",572,810,"1,564","1,310","1,188",754,192,,,,,,,
9,1,Март,с 01 март. 2018 по 04 март. 2018,3,Сборы за сеанс,"10,054","8,335","17,316","6,668","4,345","4,657","8,932","4,744","2,599","3,468","1,955","5,007","3,301","9,124","6,085","2,989","2,929","2,984","4,670","7,204",,,,,,,
