Название в ЕАИС,pr_week - 8,pr_week - 7,pr_week - 6,pr_week - 5,pr_week - 4,pr_week - 3,pr_week - 2,pr_week - 1,pr_week
Фото на память,3.0,5.0,3.0,3.0,18.0,14.0,78.0,100.0,46.0
Ночная смена,4.0,3.0,4.0,4.0,13.0,13.0,11.0,8.0,7.0
Русалка. Озеро мертвых,4.0,7.0,4.0,3.0,0.0,3.0,0.0,45.0,100.0
Клуб миллиардеров,0.0,3.0,6.0,3.0,2.0,3.0,7.0,60.0,100.0
Судная ночь. Начало,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
Аксель,11.0,15.0,24.0,15.0,8.0,12.0,12.0,74.0,100.0
Днюха!,6.0,4.0,8.0,5.0,11.0,14.0,24.0,89.0,100.0
Как женить холостяка,1.0,0.0,0.0,0.0,14.0,18.0,4.0,5.0,5.0
Временные трудности,5.0,16.0,23.0,62.0,100.0,82.0,58.0,40.0,53.0
Простая просьба,1.0,4.0,17.0,8.0,7.0,4.0,7.0,12.0,61.0
Пришельцы в доме,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
СУПЕРБОБРОВЫ. НАРОДНЫЕ МСТИТЕЛИ,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Репродукция,6.0,7.0,4.0,8.0,7.0,11.0,11.0,65.0,100.0
Вдовы,7.0,6.0,5.0,4.0,9.0,7.0,7.0,6.0,8.0
Всё или ничего,nan,nan,nan,nan,nan,nan,nan,nan,3.0
Три богатыря и наследница престола,4.0,3.0,2.0,2.0,4.0,7.0,25.0,100.0,59.0
Путь домой,2.0,2.0,4.0,6.0,4.0,4.0,5.0,24.0,28.0
Астерикс и тайное зелье,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0
Тобол,7.0,6.0,7.0,9.0,17.0,22.0,95.0,100.0,59.0
Рожденный стать королем,2.0,1.0,6.0,3.0,5.0,4.0,2.0,3.0,5.0
Домовой,28.0,28.0,77.0,100.0,62.0,61.0,49.0,37.0,66.0
Коридор бессмертия,2.0,0.0,4.0,3.0,18.0,57.0,6.0,3.0,3.0
Та еще парочка,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,4.0
Солнцестояние,0.0,0.0,0.0,1.0,1.0,3.0,13.0,2.0,3.0
Дора и Затерянный город,3.0,2.0,4.0,2.0,7.0,6.0,5.0,12.0,73.0
ЭБИГЕЙЛ,2.0,3.0,3.0,7.0,6.0,12.0,20.0,81.0,100.0
Дорогой папа,1.0,3.0,4.0,3.0,5.0,5.0,11.0,76.0,100.0
Рэмбо: Последняя кровь,5.0,3.0,3.0,3.0,8.0,6.0,8.0,88.0,100.0
Девушки бывают разные,14.0,7.0,6.0,6.0,12.0,82.0,100.0,67.0,37.0
Текст,70.0,78.0,80.0,83.0,82.0,80.0,78.0,82.0,93.0
Лев Яшин. Вратарь моей мечты,0.0,0.0,0.0,0.0,2.0,2.0,5.0,65.0,100.0
Иван Царевич и Серый Волк 4,2.0,4.0,3.0,4.0,9.0,39.0,100.0,71.0,25.0
Ёлки Новые,0.0,0.0,0.0,0.0,2.0,0.0,2.0,21.0,49.0
"Кто наш папа, чувак?",0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Скиф,12.0,11.0,9.0,10.0,16.0,11.0,22.0,91.0,100.0
Рубеж,11.0,15.0,16.0,15.0,17.0,16.0,37.0,38.0,33.0
За гранью реальности,3.0,2.0,8.0,23.0,67.0,100.0,35.0,22.0,16.0
Пассажир,11.0,8.0,8.0,7.0,13.0,12.0,17.0,13.0,16.0
"Винчестер. Дом, который построили призраки",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Папа-мама гусь,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Анон,5.0,3.0,3.0,3.0,3.0,7.0,5.0,11.0,100.0
Конченая,0.0,2.0,12.0,12.0,2.0,3.0,4.0,21.0,100.0
Два хвоста,2.0,3.0,4.0,1.0,1.0,4.0,3.0,3.0,79.0
Эскобар,7.0,6.0,10.0,9.0,7.0,6.0,7.0,11.0,10.0
Во власти стихии,1.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,6.0
Килиманджара,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Убежище дьявола,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Опасная игра Слоун,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
История одного назначения,67.0,43.0,17.0,18.0,9.0,20.0,19.0,14.0,12.0
Большой кошачий побег,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
На районе,43.0,35.0,36.0,42.0,41.0,41.0,50.0,99.0,100.0
Апгрейд,8.0,8.0,10.0,6.0,9.0,7.0,5.0,8.0,11.0
Волки и Овцы: Ход Свиньей,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Семья по-быстрому,0.0,8.0,5.0,2.0,1.0,4.0,3.0,3.0,1.0
Наркокурьер,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Королевский корги,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Игры разумов,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Братство,29.0,34.0,79.0,100.0,60.0,46.0,49.0,42.0,52.0
"Гори, гори ясно",2.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0
Рокетмен,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,9.0
Ма,48.0,46.0,51.0,49.0,56.0,54.0,49.0,47.0,51.0
Детские игры,23.0,27.0,18.0,21.0,22.0,29.0,24.0,87.0,100.0
Искусство обмана,0.0,2.0,0.0,0.0,2.0,1.0,0.0,8.0,21.0
Страшные истории для рассказа в темноте,0.0,2.0,6.0,6.0,7.0,6.0,10.0,71.0,100.0
Синяя бездна 2,2.0,3.0,2.0,3.0,4.0,3.0,17.0,66.0,100.0
Yesterday (Вчера),97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Дождливый день в Нью-Йорке,3.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0
Ржев,nan,nan,nan,nan,nan,nan,nan,nan,8.0
Фиксики против кработов,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Фердинанд,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0
Охота на воров,0.0,2.0,4.0,2.0,1.0,3.0,6.0,15.0,31.0
Гномы в доме,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"Ну, здравствуй, Оксана Соколова!",5.0,6.0,1.0,5.0,5.0,18.0,100.0,86.0,60.0
Тебя никогда здесь не было,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Не в себе,10.0,14.0,22.0,31.0,32.0,23.0,21.0,20.0,20.0
Жажда смерти,5.0,6.0,7.0,4.0,6.0,5.0,4.0,10.0,14.0
Славные пташки,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Опасный бизнес,3.0,1.0,0.0,4.0,1.0,3.0,5.0,4.0,5.0
Садко,30.0,32.0,34.0,71.0,82.0,58.0,40.0,32.0,33.0
Псы под прикрытием,0.0,0.0,1.0,0.0,0.0,7.0,2.0,3.0,9.0
22 мили,4.0,6.0,3.0,9.0,5.0,7.0,8.0,15.0,85.0
Поиск,52.0,49.0,53.0,50.0,47.0,48.0,52.0,54.0,53.0
Человек на Луне,1.0,2.0,4.0,3.0,1.0,2.0,2.0,10.0,4.0
Крымский мост. Сделано с любовью,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Оцепеневшие от страха,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Нация убийц,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Проводник,66.0,51.0,57.0,55.0,68.0,51.0,48.0,40.0,33.0
"Дом, который построил Джек",1.0,0.0,0.0,0.0,1.0,3.0,3.0,32.0,5.0
Начни сначала,6.0,4.0,7.0,8.0,4.0,5.0,8.0,5.0,7.0
Две королевы,0.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0
Море соблазна,4.0,8.0,5.0,5.0,4.0,6.0,10.0,64.0,100.0
Омен: Перерождение,1.0,2.0,1.0,0.0,2.0,5.0,29.0,23.0,17.0
Потерянное звено,0.0,2.0,0.0,1.0,1.0,0.0,6.0,72.0,100.0
Миа и белый лев,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Щенячий патруль и Нелла, отважная принцесса",nan,nan,nan,nan,nan,nan,nan,nan,0.0
Мертвые не умирают,2.0,4.0,2.0,2.0,2.0,1.0,1.0,30.0,12.0
Бойцовский клуб,nan,nan,nan,nan,nan,nan,nan,nan,63.0
Паразиты,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0
BTS: Открой свою душу. Фильм,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Падение ангела,2.0,2.0,1.0,3.0,5.0,7.0,10.0,78.0,100.0
Птичий дозор,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Комната желаний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Волшебник,6.0,5.0,6.0,12.0,7.0,5.0,6.0,5.0,5.0
Урфин Джюс возвращается,2.0,0.0,0.0,1.0,7.0,63.0,100.0,39.0,10.0
Во все тяжкое,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Алла Пугачёва. Тот самый концерт,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Звёздные войны: Последние джедаи,6.0,5.0,9.0,7.0,10.0,12.0,13.0,23.0,90.0
Девушка в тумане,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Плюшевый монстр,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Мэри и ведьмин цветок,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Титан,55.0,49.0,60.0,54.0,58.0,54.0,57.0,52.0,53.0
Остров Собак,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0
Пчёлка Майя и Кубок мёда,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Распрекрасный принц,1.0,18.0,3.0,6.0,6.0,1.0,6.0,2.0,6.0
Паранормальное,6.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0,7.0
Зло,11.0,14.0,13.0,13.0,26.0,35.0,24.0,19.0,15.0
Мара. Пожиратель снов,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Только не они,6.0,6.0,7.0,5.0,6.0,13.0,15.0,74.0,100.0
Вечерняя школа,7.0,10.0,15.0,15.0,19.0,18.0,17.0,10.0,14.0
Суспирия,0.0,1.0,3.0,1.0,3.0,3.0,7.0,5.0,15.0
Мэри Поппинс возвращается,2.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,2.0
Рассвет,26.0,28.0,40.0,32.0,34.0,46.0,32.0,32.0,35.0
Власть,53.0,35.0,41.0,47.0,46.0,46.0,46.0,53.0,61.0
Щенячий патруль: Мегащенки,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Пушистый шпион,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Маугли дикой планеты,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Отель Мумбаи: Противостояние,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
