Название в ЕАИС,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget,age_restr,release_week_rus,release_week_rus_matched_with_google
АТАКА ТИТАНОВ. ФИЛЬМ ПЕРВЫЙ. ЖЕСТОКИЙ МИР,635184,Атака титанов. Фильм первый: Жестокий мир,Shingeki no kyojin,"Сотни лет назад самым страшным кошмаром людей были титаны, появившиеся неизвестно откуда. Человечество было для исполинов всего лишь кормом. Когда люди возвели вокруг своих городов огромную защитную стену, жизнь изменилась — в ней появились спокойствие и беззаботность. Как оказалось, лишь на время. Страх и ужас вернулись, когда стена пала, и первобытные гиганты вновь ступили на территорию людей. В неравной борьбе от человечества практически ничего не осталось, а на защиту выживших встаёт парень по имени Эрен, жаждущий мести за смерть своих близких.",2015,Япония,,"Харума Миура, Хироки Хасэгава, Кико Мидзухара, Каната Хонго, Такахиро Миура, Нанами Сакураба, Сатору Мацуо, Сатоми Исихара, Пьер Таки, Дзюн Кунимура",Синдзи Хигути,"Хадзимэ Исаяма, Томохиро Матияма, Юсукэ Ватанабэ","Юдзи Исида, Гэнки Кавамура, Тэнсёку Ивата",Сёдзи Эхара,"Сиро Сагису, Сиро Васидзу","Такэси Симидзу, Синъити Мита",Юсукэ Исида,"фантастика, драма, боевик",{},None,None,449523,314448,31260181,,4.526,7701,None,None,98,None,,,,FALSE,(),27.8.2015,27.8.2015,,$449 523,None,35-2015,20
Парень с нашего кладбища,841830,Парень с нашего кладбища,,"Двадцатипятилетний провинциальный парень Коля приезжает в Москву к своему дяде. Ему нужно как можно быстрее отдать долг, который висит на нем с прошлого места работы, он готов работать каждый день. Точнее, каждую ночь. Так как дядя устраивает племянника ночным сторожем на… кладбище. Новый сторож приступает к первому дежурству, но к тому, что происходит на кладбище, когда стемнеет, он оказывается не готов. А впереди еще не одна ночь, и Коле нужно сделать выбор: разобраться с таинственными гостями или сбежать.",2015,Россия,,"Александр Паль, Игорь Жижикин, Владимир Сычев, Александр Ильин, Кристина Казинская, Полина Шашуро, Алексей Онежен, Евгений Волоцкий, Нодари Джанелидзе, Сергей Мезенцев","Илья Чижиков, Антон Чижиков",Владимир Серышев,"Сергей Сельянов, Андрей Рыданов",Алексей Шубаков,Михаил Чертищев,,Андрей Компаниец,"комедия, триллер",{},None,None,None,251694,None,,6.124,19907,None,None,90,None,,,,FALSE,(),3.9.2015,3.9.2015,,"$251 694
",None,36-2015,21
Фантастическая четверка,471642,Фантастическая четверка,Fantastic Four,"История о четырех молодых астронавтах, которые отважились на авантюрное путешествие в параллельное измерение для исследования аномальной волны космической энергии. Вернувшись из путешествия, они обнаружили у себя суперспособности, которые навсегда изменили их жизни…",2015,"США, Германия, Великобритания",«Всё изменится»,"Майлз Теллер, Майкл Б. Джордан, Кейт Мара, Джейми Белл, Тоби Кеббелл, Рег Э. Кэти, Тим Блейк Нельсон, Джошуа Монтес, Дэн Кастелланета, Оуэн Джадж",Джош Транк,"Джереми Слэйтер, Саймон Кинберг, Джош Транк","Грегори Гудман, Саймон Кинберг, Роберт Кульцер",Мэттью Дженсен,"Марко Белтрами, Филип Гласс","Молли Хьюз, Крис Сигерс, Рави Бансал","Эллиот Гринберг, Стивен Е. Ривкин","фантастика, боевик, драма, приключения",{},120000000,None,56117548,5035898,167882881,,4.277,52533,None,None,100,None,,,,FALSE,(),20.8.2015,20.8.2015,,$120 000 000,None,34-2015,19
Ультраамериканцы,807399,Ультраамериканцы,American Ultra,"А вдруг ты тоже спецагент, обладающий уникальной боевой подготовкой и сверхинтеллектом? Но просто ты забыл об этом… Как Майк Хоуэлл, лоботряс из супермаркета, который безмятежно читает комиксы и курит дурь, пока славное прошлое не настигает его. И обдолбанный агент номер 1 становится мишенью номер 1.",2015,"Швейцария, США",«Нет ничего опаснее обкуренного киллера с амнезией»,"Джесси Айзенберг, Кристен Стюарт, Тофер Грейс, Конни Бриттон, Уолтон Гоггинс, Джон Легуизамо, Билл Пуллман, Тони Хейл, Стюарт Грир, Майкл Пападжон",Нима Нуризаде,Макс Лэндис,"Дэвид Элперт, Энтони Брегман, Кевин Скотт Фрайкс",Майкл Бонвилейн,Марсело Зарвос,"Ричард Бриджлэнд, Майкл Бартон, Кристина Юнджи Ким","Эндрю Маркус, Билл Панкоу","фантастика, боевик, комедия",{},28000000,None,14440985,2083496,27262374,,6.192,71970,None,None,96,None,,,,FALSE,(),27.8.2015,27.8.2015,,$28 000 000,лицам до 17 лет обязательно присутствие взрослого,35-2015,20
Инфекция (2013),462514,Конец света 2013: Апокалипсис по-голливудски,This Is the End,"Джей Барушель приезжает в Лос-Анджелес, чтобы посетить старого друга и коллегу, актера Сета Рогена, который пригласил Барушеля на новоселье, которое организовывает Джеймс Франко. На не очень приличную вечеринку приехали многие знаменитости. Барушелю неудобно среди такого количества людей, он практически не знает лично таких знаменитостей, как: Джона Хилл, Кристофер Минц-Плассе, Майкл Сера, Крейг Робинсон, Эмма Уотсон и Ченнинг Татум. Роген, чтобы немного успокоить друга, сопровождает его в магазин за сигаретами. В магазине лучи синего света с неба вдруг унесли несколько покупателей. Перепуганные Роген и Барушель бегут в дом Франко на фоне взрывов, автомобильных аварий, а также массового хаоса, но на вечеринке синие лучи никого не тронули. Подвыпившие гости не верят россказням Барушеля и объявляют его сумасшедшим, но через несколько секунд слышат снаружи грохот…",2013,США,«Ending Summer 2013»,"Сет Роген, Джей Барушель, Джеймс Франко, Джона Хилл, Крэйг Робинсон, Дэнни Макбрайд, Майкл Сера, Эмма Уотсон, Кристофер Минц-Плассе, Рианна","Сет Роген, Эван Голдберг","Сет Роген, Эван Голдберг, Джейсон Стоун","Эван Голдберг, Сет Роген, Джеймс Уивер",Брэндон Трост,Генри Джекман,"Крис Л. Спэллман, Уильям Лэдд Скиннер, Дэнни Гликер",Зене Бэйкер,"комедия, фэнтези",{},32000000,None,101470202,2332194,126041322,,6.044,58959,None,None,107,None,,,,FALSE,(),19.9.2013,19.9.2013,,$32 000 000,0,38-2013,#N/A
МУЛЬТ в кино. Выпуск № 13,922234,МУЛЬТ в кино. Выпуск No13,,"В тринадцатом выпуске «МУЛЬТ в кино» герои сериала «Фиксики» будут изучать ноты и изобретать музыкальный инструмент. Кроме того, в свежем выпуске анимационного киножурнала — две серии мультфильма «Ми-ми-мишки» (эпизоды «Пиратская история» и «Медовая история»), а также «Лунтик и его друзья» («Коллекционер»), «Барбоскины» («Чудес не бывает»), «Бумажки» («А был ли птенчик?») и «Котики, вперёд!» («Кто похитил сокровища?»).",2015,Россия,,,"Виталий Мухаметзянов, Вадим Воля, Евгений Головин",,"Иван Кудрявцев, Татьяна Цыварева",,,,,"мультфильм, детский",{},None,None,None,53102,None,,None,None,None,None,45,None,,,,FALSE,(),5.9.2015,5.9.2015,,None,None,36-2015,21
Мир Юрского периода,594554,Мир Юрского периода,Jurassic World,"Тысячи людей спешат увидеть Мир Юрского периода, но безопасное на первый взгляд развлечение может обернуться угрозой для жизни.",2015,США,«Парк откроется»,"Крис Пратт, Брайс Даллас Ховард, Ник Робинсон, Тай Симпкинс, Винсент Д’Онофрио, Ирфан Кхан, Омар Си, Б.Д. Вонг, Джейк Джонсон, Джуди Грир",Колин Треворроу,"Рик Джаффа, Аманда Сильвер, Колин Треворроу","Патрик Краули, Фрэнк Маршалл, Кристофер Раймо",Джон Шварцман,Майкл Джаккино,"Эд Верро, Пейдж Бакнер, Ник Крокко",Кевин Ститт,"фантастика, приключения, боевик",{},150000000,None,652270625,23536094,1670400637,,6.853,150458,None,None,125,None,,,,FALSE,(),11.6.2015,11.6.2015,,$150 000 000,детям до 13 лет просмотр не желателен,24-2015,9
Беглец (2015),3915,Беглец,The Fugitive,"Доктор Ричард Кимбл, чикагский хирург, ложно обвинен в убийстве своей жены. Полный решимости доказать свою невиновность доктор совершает побег из тюрьмы. Он хочет сам привести своих преследователей — служителей закона — к настоящему убийце.",1993,США,«Его жена убита. Некто однорукий. Одержимый полицейский. Погоня начинается...»,"Харрисон Форд, Томми Ли Джонс, Джо Пантольяно, Ерун Краббе, Села Уорд, Джулианна Мур, Андреас Кацулас, Дэниэл Робак, Л. Скотт Колдуэлл, Том Вуд",Эндрю Дэвис,"Дэвид Туи, Джеб Стюарт, Рой Хаггинс","Арнольд Копельсон, Кит Бариш, Стивен Браун",Майкл Чэпмен,Джеймс Ньютон Ховард,"Дж. Деннис Вашингтон, Мехер Ахмад, Эджи Джерард Роджерс","Дон Брошу, Дэвид Финфер, Дин Гудхилл","боевик, триллер, драма, криминал, детектив",{},44000000,None,183875760,None,368875760,,7.887,47155,7.8,255888,130,None,,,,FALSE,(),18.4.1994,18.4.1994,,$44 000 000,None,17-1994,#N/A
Иррациональный человек,840992,Иррациональный человек,Irrational Man,"Профессор философии Эйб Лукас опустошен: он не видит в своей жизни ни радости, ни смысла. На лето Эйб приезжает преподавать в небольшой колледж, где у него завязываются отношения с двумя очень разными женщинами. Рита, его новая коллега, воображает, что именно он вызволит её из несчастливого брака. А Джилл, его лучшая студентка, становится ему ближайшим другом. Но девушку неодолимо притягивают мятущаяся творческая натура Эйба и его загадочное прошлое, и она все больше отдаляется от своего бойфренда Роя. Всё меняет невольно подслушанный Эйбом и Джилл разговор, после которого Эйб, стряхнув с себя равнодушие и отчаяние, решает действовать… Абсолютно иррационально.",2015,США,,"Хоакин Феникс, Эмма Стоун, Джейми Блэкли, Паркер Поузи, Джо Степлтон, Нэнси Кэрролл, Эллисон Галлерани, Бригитт Ланди-Пейн, Кэтлин Семер, Бетси Айдем",Вуди Аллен,Вуди Аллен,"Летти Аронсон, Рон Чез, Хелен Робин",Дариус Хонджи,,"Санто Локосто, Карл Спрэг, Сьюзи Бензингер",Алиса Лепселтер,"драма, комедия",{},11000000,None,4030360,744950,27391084,,6.731,37928,None,None,95,None,,,,FALSE,(),13.8.2015,13.8.2015,,$11 000 000,0,33-2015,18
Синистер 2,744668,Синистер 2,Sinister 2,"Молодой шериф решил продолжить расследование серии таинственных убийств, из-за которых в своё время потерял жизнь друг шерифа Элиссон Освальт. Расследование приводит шерифа к ферме, где он знакомится с дружелюбной семьёй — близнецами Заком и Диланом и их матерью Кортни. Семьёй, сбежавшей от издевательств жестокого отца. Каждый день, проведённый в этом доме, может стать для них последним, как и для всех, кто жил здесь ранее и попал в поле зрения самой смерти — беспощадного демона Багула.",2015,"США, Великобритания","«Бойся того, во что играют твои дети»","Джеймс Рэнсон, Шаннин Соссамон, Роберт Дэниэл Слоун, Дартаниан Слоун, Лиа Коко, Тейт Эллингтон, Джон Бизли, Лукас Джейд Зуманн, Джейден Клейн, Лайла Хейли",Киран Фой,"Скотт Дерриксон, С. Роберт Каргилл","Джейсон Блум, Скотт Дерриксон, Риан Кехилл",Эми Винсент,Томэндэнди,"Билл Боэ, Мерже Вески, Стефани Льюис","Тимоти Элверсон, Майкл Трент","ужасы, триллер, детектив",{},10000000,None,27740955,2428412,53329150,,5.131,20886,None,None,97,None,,,,FALSE,(),20.8.2015,20.8.2015,,$10 000 000,/,34-2015,19
Москва никогда не спит,723104,Москва никогда не спит,,"В день, когда Москва празднует очередной день рождения, каждый из пяти героев должен будет сделать свой жизненный выбор. Их судьбы пересекутся и изменятся навсегда.  Предприниматель должен отстоять свой бизнес, которому угрожают госчиновники", начинающая певица разрывается между любовью и деньгами," знаменитый актер, которого похищают среди белого дня, наконец-то сможет побыть собой и сказать правду", молодой человек ищет возможность соединить долг и собственные желания," а ненавидящим друг друга сводным сестрам за одну опасную ночь удастся найти взаимопонимание.  Связанные скрытыми узами, герои представят яркий портрет мегаполиса в День города. Под взрывы салюта раскроется безудержная энергия крупнейшего города Европы.",2014,"Россия, Ирландия",«Этот город перевернёт твою жизнь»,"Евгения Брик, Михаил Ефремов, Алексей Серебряков, Виктор Вержбицкий, Алёна Бабенко, Юрий Стоянов, Любовь Аксенова, Олег Долин, Яна Попова, Софья Реснянская",Джонни О’Райлли,Джонни О’Райлли,"Кэти Холли, Джонни О’Райлли, Андрей Булатов",Федор Лясс,Роман Литвинов,"Пьер Брэйярд, Екатерина Залетаева, Виктория Богданова",Даррен Чан,"драма, комедия, триллер",{},3700000,None,25306,151195,None,,5.546,3564,None,None,100,None,,3.9.2015,3.9.2015,,$3 700 000,None,36-2015,21
МУЛЬТ в кино. Выпуск № 12,922233,МУЛЬТ в кино. Выпуск No12,,"В двенадцатом выпуске «МУЛЬТ в кино» — большая премьера: заключительная серия второго сезона сериала «Маша и медведь». Неужели Маша выросла и теперь покинет лес навсегда? Также в свежем выпуске киножурнала — новые эпизоды российских мультфильмов «Лунтик и его друзья» (серия «Не ради награды»), «Бумажки» («Крокодиловы слёзы» и «Звёздная ночь»), «Котики, вперёд!» («Сладкий домик»), «Барбоскины» («Пиастры») и «Ми-ми-мишки» («Змей на дереве»).",2015,Россия,,,"Виталий Мухаметзянов, Вадим Воля, Евгений Головин",,"Иван Кудрявцев, Татьяна Цыварева",,,,,"мультфильм, детский",{},None,None,None,36444,None,,None,None,None,None,45,None,,,,FALSE,(),22.8.2015,22.8.2015,,None,None,34-2015,19
Подарок .,888304,Подарок,The Gift,"В жизнь Саймона врывается человек из далекого прошлого — его бывший одноклассник Гордо. Человек дружелюбный, немного неуклюжий, но с большими странностями. До встречи с одноклассником Саймон и его молодая супруга Робин считали свою жизнь идеальной, однако Гордо вносит в жизнь молодоженов свои коррективы.",2015,"США, Австралия, Китай",«Грехи прошлого становятся твоим настоящим»,"Джейсон Бейтман, Ребекка Холл, Джоэл Эдгертон, Эллисон Толман, Тим Гриффин, Бизи Филиппс, Адам Лазарр-Уайт, Бо Напп, Уенделл Пирс, Мирра Фолкс",Джоэл Эдгертон,Джоэл Эдгертон,"Джейсон Блум, Джоэл Эдгертон, Ребекка Йелдхэм",Эдуард Грау,"Дэнни Бенси, Сондер Юрриаанс","Ричард Шерман, Лорин Флемминг, Терри Андерсон",Люк Дулан,"триллер, драма, детектив",{},5000000,None,43787265,None,58978653,,6.415,27791,None,None,103,None,,,,FALSE,(),13.8.2015,13.8.2015,,$5 000 000,/,33-2015,18
Клуб Винкс. Сезон 7. Серии 1 - 3,320024,Клуб Винкс — Школа волшебниц ( сериал   ),,,None,,,,,,,,,,,,{},None,None,None,None,None,,None,None,None,None,None,None,,,,None,(),#N/A,#N/A,,None,None,#N/A,#N/A
Человек-муравей,195496,Человек-муравей,Ant-Man,"Вооружившись удивительной способностью уменьшаться в размере, но обладать при этом большой силой, мошенник Скотт Лэнг должен стать героем и помочь своему наставнику, доктору Хэнку Пиму, сохранить в тайне существование костюма Человека-муравья от угроз нового поколения.",2015,США,«Рожденный ползать взлетит до небес»,"Пол Радд, Майкл Дуглас, Эванджелин Лилли, Кори Столл, Майкл Пенья, Бобби Каннавале, Ти-Ай, Давид Дастмалчян, Эбби Райдер Фортсон, Джуди Грир",Пейтон Рид,"Эдгар Райт, Джо Корниш, Адам МакКей","Кевин Файги, Виктория Алонсо, Луис Д’Эспозито",Рассел Карпентер,Кристоф Бек,"Шеперд Франкель, Маркус Роулэнд, Камерон Бисли","Дэн Лебентал, Колби Паркер мл.","фантастика, боевик, комедия, приключения",{},130000000,None,180202163,10250747,519311965,,7.085,169196,None,None,117,None,,,,FALSE,(),16.7.2015,16.7.2015,,$130 000 000,0,29-2015,14
Левша (2015),573990,Левша,Southpaw,"У боксера Билли Хоупа все было прекрасно: звание чемпиона, красавица-жена и любимая дочка. Но фортуна отворачивается от него: при трагических обстоятельствах погибает любимая жена, дисквалификация на ринге, нулевые доходы, суд лишает его родительских прав… Хоуп должен отстоять звание чемпиона и вернуть дочь. Есть ли у Хоупа шансы на победу? Все решит его знаменитый хук левой…",2015,"Гонконг, США",«Преодолей судьбу»,"Джейк Джилленхол, Рэйчел МакАдамс, Форест Уитакер, Уна Лоуренс, Фифти Сент, Скайлан Брукс, Наоми Харрис, Виктор Ортис, Бо Напп, Мигель Гомес",Антуан Фукуа,Курт Саттер,"Тодд Блэк, Джейсон Блюменталь, Антуан Фукуа",Мауро Фиоре,Джеймс Хорнер,"Дерек Р. Хилл, Грегори А. Веймерскирч, Дэвид С. Робинсон",Джон Рефуа,"драма, спорт",{},30000000,None,52421953,931339,91970827,,7.461,89688,None,None,124,None,,,,FALSE,(),30.7.2015,30.7.2015,,$30 000 000,лицам до 17 лет обязательно присутствие взрослого,31-2015,16
Вне/себя,84014,...А в душе я танцую,Inside Im Dancing,"Майклу 24 года, и почти всю свою жизнь он провел в доме для инвалидов, куда попал с церебральным параличом. Он знакомится с новым пациентом клиники — Рори О’Ши, которого приковала к инвалидной коляске мышечная атрофия. Как и Майкл, он практически не может передвигаться, но это не мешает Рори по-своему наслаждаться жизнью. Его смелость и безразличие к ударам судьбы становятся отличным примером для Майкла.",2004,"Великобритания, Ирландия, Франция",«Парализуй жизнь»,"Джеймс МакЭвой, Стивен Робертсон, Ромола Гарай, Джерард МакСорли, Том Хикки, Бренда Фрикер, Алан Кинг, Рут МакКейб, Анна Хили, Сара Джейн Драмми",Дэмиен О’Доннелл,"Джефри Кейн, Кристиан О’Рейли","Джеймс Флинн, Хуанита Уилсон, Тим Беван",Питер Робертсон,Дэвид Джульян,"Том Конрой, Стефен Дэйли, Лорна Мари Муган",Фрэнсис Паркер,"драма, комедия, мелодрама",{},None,None,23844,None,1226577,,8.11,138378,7.8,13967,98,None,,,,FALSE,(),#N/A,#N/A,,$23 844,None,#N/A,#N/A
Молодая кровь (2015),712951,Молодая кровь,Son of a Gun,"Попав в тюрьму, Джей заводит знакомство с самым известным преступником Австралии — Брэнданом Линчем. Линч предлагает Джею свое покровительство в тюрьме, а в обмен на это Джей соглашается помочь ему, когда окажется на свободе. Вместе с бандой Линча Джею будет нужно провернуть крупную кражу золота. В процессе подготовки к ограблению Джей знакомится с девушкой из банды, Наташей. Они влюбляются друг в друга и начинают подумывать о том, чтобы оставить криминальный мир, но это совсем не входит в планы Брэндана Линча…",2013,"Австралия, Великобритания, Канада",«Everyone gets what they deserve»,"Брентон Туэйтс, Юэн Макгрегор, Алисия Викандер, Брендан Керквлиет, Мэтт Флэннаган, Джофф Келсо, Питер Нивс, Мэтью Нэйбл, Эдди Бару, Казимир Шаш",Джулиус Эйвери,"Джулиус Эйвери, Джон Колли","Тимоти Уайт, Катрин Бишоп, Джон Колли",Найджел Блак,Джед Курзель,"Фиона Кромби, Софи Нэш, Терри Ламера",Джек Хатчингс,"боевик, триллер, драма, криминал",{},None,None,None,7914,None,,6.032,4946,None,None,109,None,,,,FALSE,(),#N/A,#N/A,,"$7 914
",None,#N/A,#N/A
РЕШАЛА-2,892585,Решала 2,,"После событий, произошедших в первой части, прошло 4 года. Обстановка в городе напряженная, за сферы влияний борются два криминальных авторитета — Витя Черный и Добрый. В это время из тюрьмы выходит Завгар, и Витя Черный надеется на его поддержку. Но Завгар горит желанием отомстить Каше, ведь по его наводке он отправился за решетку. Каша уехал в другой город, он впервые в жизни по-настоящему счастлив. У него жена, маленький сын, но прошлое напоминает о себе, и теперь Каша вынужден решать, как жить дальше.",2015,Россия,«Что не сделали родители-вынуждено доделывать общество»,"Александр Фролов, Мосэ Куртанидзе, Константин Озеров, Чингиз Аздаев, Арина Есина, Руслан Балакшиев, Алина Намсараева",Роман Асхаев,"Евгений Замалиев, Жаргал Бадмацыренов, Роман Асхаев","Евгений Замалиев, Сергей Гармаев","Алексей Ионов, Роман Асхаев",Андрей Роговой,,Евгений Очиров,"драма, криминал",{},None,None,None,435957,None,,6.227,5633,None,None,80,None,,,,FALSE,(),6.8.2015,6.8.2015,,  98.7 тыс.,None,32-2015,17
Пиксели,651628,Пиксели,Pixels,"Очередное вторжение инопланетян на Землю… Вы скажете: «Что может быть банальнее?!». Да, если бы на этот раз они не предстали в виде героев вселенски популярных компьютерных игр. Сражаться с пришельцами призвана команда бывших геймеров, в числе которых: Президент Соединенных Штатов Америки"," карлик-зэк, большой ценитель прекрасного пола"," зануда-параноик, свято верящий в теорию вселенского заговора"," профессиональный неудачник и циник, в детстве подававший большие надежды. А помогает новоиспеченным героям очаровательная ученая фея.",2015,"США, Китай, Канада",«Its time to save the World»,"Адам Сэндлер, Кевин Джеймс, Мишель Монахэн, Питер Динклэйдж, Джош Гад, Брайан Кокс, Мэтт Линтц, Шон Бин, Джейн Краковски, Дэн Эйкройд",Крис Коламбус,"Тим Херлихи, Тимоти Даулинг, Патрик Жан","Майкл Барнатан, Крис Коламбус, Аллен Коверт",Амир М. Мокри,Генри Джекман,"Питер Венхам, Рэмси Эйвери, Стив Кристенсен","Пек Прайор, Хьюз Уинборн","фантастика, боевик, комедия",{},88000000,None,78747585,5562117,244874809,,5.838,52172,None,None,106,None,,,23.7.2015,23.7.2015,(),$88 000 000,0,30-2015,15
Кто я,779602,Кто я,Who Am I - Kein System ist sicher,"Бенджамин — молодой компьютерный гений. С детства он мечтает стать супергероем из комиксов и покорить мир. Но в реальном мире он — никто. Его жизнь неожиданно меняется, когда он встречает свою полную противоположность — харизматичного Макса. Не желая жить в жёстких рамках системы, они совершают череду дерзких кибер-преступлений. Восстав против равнодушного общества, они становятся кумирами для целого поколения. Теперь Бенджамин — не просто супергерой, он — самый разыскиваемый хакер в мире. Но что его ждёт после погружения в альтернативную реальность? Кто же он на самом деле?",2014,Германия,"«Каждый видит то, что хочет видеть»","Том Шиллинг, Элиас ЭмБарек, Вотан Вильке Мёринг, Антуан Моно мл., Ханна Херцшпрунг, Штефан Кампвирт, Трине Дюрхольм, Леопольд Хорнунг, Катарина Матц, Леонард Каров",Баран бо Одар,"Янтье Фризе, Баран бо Одар","Квирин Берг, Макс Видеманн, Штефан Гёртнер",Николос Суммерер,Михаэль Камм,"Силке Бур, Маркус Нордеманн, Рамона Клиниковски",Роберт Жесач,"фантастика, триллер, драма, криминал, детектив",{},None,None,None,332109,7700259,,7.421,62890,None,None,102,None,,,,FALSE,(),13.8.2015,13.8.2015,,"$7 700 259
",None,33-2015,18
Ватиканские записи,478075,Ватиканские записи,The Vatican Tapes,"Анжела Холмс жила обычной жизнью, пока внезапно не начала оказывать разрушительное воздействие на окружающих, причиняя людям серьезные, иногда смертельные травмы. Местный священник, отец Лозано, уверен в ее одержимости. Приглашенные для проведения сеанса экзорцизма кардиналы из Ватикана сталкиваются с древней сатанинской силой, большей, чем они могли себе представить.",2015,США,"«For 2,000 years the Vatican has recorded evidence of evil. May God have mercy on their souls»","Оливия Тейлор Дадли, Джон Патрик Амедори, Дюгрей Скотт, Майкл Пенья, Петер Андерссон, Джимон Хонсу, Кэтлин Робертсон, Сэм Аптон, Кэс Анвар, Майкл Халсли",Марк Невелдайн,"Кристофер Боррелли, Майкл С. Мартин, Крис Морган","Крис Коулз, Гари Лучези, Крис Морган",Жерардо Матео Мадрасо,Джозеф Бишара,"Джерри Флеминг, Линдсей МакКей",Эрик Поттер,"ужасы, триллер",{},8000000,None,1784763,1147390,13015764,,4.436,6494,None,None,91,None,,,,FALSE,(),30.7.2015,30.7.2015,,$8 000 000,None,31-2015,16
Антураж,535317,Антураж,Entourage,Звезда кино Винс Чейз и его друзья бросают вызов капризному и зачастую жестокому миру Голливуда.,2015,США,«The ride aint over»,"Кевин Коннолли, Эдриан Гренье, Кевин Диллон, Джерри Феррара, Джереми Пивен, Эммануэль Шрики, Хэйли Джоэл Осмент, Ронда Раузи, Рекс Ли, Билли Боб Торнтон",Даг Эллин,"Даг Эллин, Роб Уайсс","Даг Эллин, Стивен Левинсон, Марк Уолберг",Стефен Фирберг,,"Чейз Хэрлан, Чикако Сузуки, Элизабет Тиннес",Джефф Грот,комедия,{},30000000,None,32363404,897905,49263404,,6.382,17330,None,None,104,None,,,,FALSE,(),30.7.2015,30.7.2015,,$30 000 000,0,31-2015,16
Этот неловкий момент.,663695,Этот неловкий момент,Un moment dégarement,"Два закадычных друга со своими дочерьми проводят отпуск на Корсике, где на солнечных пляжах в 42-летнего отца семейства влюбляется соблазнительная 18-летняя красотка. Все бы ничего, да только прелестная девушка является дочерью лучшего друга — строгого отца, грозящего пристрелить любого, кто подойдет ближе, чем на шаг, к обожаемой малышке.",2015,"Франция, Бельгия","«An exotic, sexy comedy with surprising heart»","Венсан Кассель, Франсуа Клюзе, Лола Ле Ланн, Алис Исааз, Лука Мельява, Ноэми Мерлан, Ромейн Апельбаум, Филипп Наон, Франсуа Бергуан, Аннелиз Эсме",Жан-Франсуа Рише,"Лиза Азуэлос, Жан-Франсуа Рише, Клод Берри","Себастьен Деллуа, Тома Лангманн, Дэниэл Делюм","Роберт Ганц, Паскаль Марти",Филипп Ромби,Хайят Лушпински,Эрве Шнайд,"мелодрама, комедия",{},None,None,None,1113940,6045343,,6.27,31583,None,None,101,None,,,,FALSE,(),9.7.2015,9.7.2015,,"$6 045 343
",None,28-2015,13
Виселица,698193,Виселица,The Gallows,"Спустя 20 лет после несчастного случая при постановке школьной пьесы учащиеся решают вновь поставить её, чтобы почтить память погибшего ученика. Но в некоторых случаях прошлое лучше не ворошить.",2015,США,«В каждой школе есть свой призрак»,"Риз Мишлер, Пфайфер Браун, Райан Шус, Кэссиди Гиффорд, Трэвис Клафф, Прайс Т. Морган, Melissa Bratton, Тео Буркхардт, Дэвид Херрера, Гэннон Дель Фиерро","Трэвис Клафф, Крис Лофинг","Крис Лофинг, Трэвис Клафф","Джейсон Блум, Гаймон Кеседи, Трэвис Клафф",Эдд Лукас,Зак Леммон,"Стефани Хэсс, Дженнифер Салливан, Джессика Питер",Крис Лофинг,"ужасы, триллер, детектив",{},100000,None,22764410,None,42964410,,4.302,7803,None,None,81,None,,,,FALSE,(),23.7.2015,23.7.2015,,$100 000,/,30-2015,15
Кокоша - маленький дракон /По одноименному произведению Инго Зигнера/,847998,Кокоша — маленький дракон,Der kleine Drache Kokosnuss,"Дракончик Кокоша и его друг, дракончик Оскар, жили на Острове Драконов. Были они не такими, как все. Кокоша очень хотел стать летающим драконом, но летать у него не получалось. А Оскар, хищник по рождению, был убежденным вегетарианцем. Однажды вместе со своей подружкой, дикобразихой Матильдой, они решили отправиться в рискованное путешествие…",2014,Германия,,"Сара Аллес, Сабина Фалькенберг, Гудо Хегель, Каролин Кебекус, Тобиас Лелле, Фред Майре, Клаудия Михельсен, Роберт Мисслер, Филин Питерс-Арнольдс, Пьер Питерс-Арнольдс","Хьюберт Вейланд, Нина Вельс","Марк Слэйтер, Габриэла Вальтер",Габриэла Вальтер,,"Дэнни Чанг, Штефан Мария Шнайдер",,,"мультфильм, детский",{},None,None,None,112082,None,,5.174,348,4.3,152,83,None,,,,FALSE,(),30.7.2015,30.7.2015,,"30 июля 2015, «Cinema Prestige»
3D",None,31-2015,16
Любовь вразнос,844991,Любовь вразнос,Papa ou maman,"Они безбашенные и отвязные, и любят вразнос. Изменило ли их время и обстоятельства? Чтобы проверить это, они идут на крайние меры — объявляют друг другу войну. А на войне, как известно, все средства хороши.",2014,"Франция, Бельгия",«Хочешь войны»,"Лоран Лафитт, Марина Фоис, Александр Десрусу, Анна Лемаршан, Акилле Потье, Жюдит Эль Зейн, Микаэль Абитбуль, Ванесса Гид, Мишель Вюйермоз, Анн Ле Ни",Мартин Бурбулон,"Жером Фанстен, Матьё Делапорт, Александр де Ла Пательер","Александр де Ла Пательер, Дмитрий Рассам, Джонатан Блюменталь",Лоран Дайян,Жером Реботье,"Стефан Тайлассон, Арно Боньорт, Анн Скотт",Вирджиния Брюант,комедия,{},12900000,None,None,158285,None,,5.982,4080,6,3798,84,None,,,,FALSE,(),30.7.2015,30.7.2015,,$12 900 000,None,31-2015,16
